id,ownerid,size,name,follow,star,fork,language
28767505,371545,20512,"android_packages_apps_Browser",0,0,0,"[ ""Java"" ]"
31428698,371545,41344,"android_packages_apps_Contacts",0,0,0,"[ ""Java"" ]"
31428360,371545,7148,"android_packages_apps_ContactsCommon",0,0,0,"[ ""Java"" ]"
29600535,371545,19380,"android_packages_apps_DeskClock",0,0,0,"[ ""Java"" ]"
28934108,371545,11116,"android_packages_apps_Dialer",0,0,0,"[ ""Java"" ]"
29223056,371545,52668,"android_packages_apps_Gallery2",0,0,0,"[ ""Java"" ]"
29040423,371545,9120,"android_packages_apps_InCallUI",0,0,0,"[ ""Java"" ]"
31446912,371545,8308,"android_packages_apps_LockClock",0,0,0,"[ ""Java"" ]"
29707775,371545,269284,"android_packages_apps_Settings",2,2,1,"[ ""Java"" ]"
30481092,371545,325420,"android_packages_inputmethods_LatinIME",0,0,0,"[ ""Java"" ]"
30622340,371545,4124,"android_packages_providers_CalendarProvider",0,0,0,"[ ""Java"" ]"
30622263,371545,4136,"android_packages_providers_MediaProvider",0,0,0,"[ ""Java"" ]"
30580989,371545,284,"android_packages_services_Mms",0,0,0,"[ ""Java"" ]"
29232151,371545,4144,"android_packages_services_Telecomm",0,0,0,"[ ""Java"" ]"
28930668,371545,12704,"android_packages_services_Telephony",0,0,0,"[ ""Java"" ]"
29232238,371545,1168,"android_providers_TelephonyProvider",0,0,0,"[ ""Java"" ]"
31759062,371545,0,"android_system_core",0,0,0,"[ ""C"" ]"
29039317,371545,1296,"android_system_extras",0,0,0,"[ ""C"" ]"
29222849,371545,10080,"android_vendor_chroma",0,0,0,"[ ""Shell"" ]"
28735785,371545,154650,"android_vendor_moto",0,0,0,"[ ""Makefile"" ]"
4024905,1317792,119,"android-on-veer",28,28,9,
24055824,1317792,152,"arc-analyse",5,5,1,"[ ""Python"" ]"
30276799,1317792,2231,"atom-minimap",0,0,0,"[ ""CoffeeScript"" ]"
15159300,1317792,110,"Civilization",0,0,0,"[ ""JavaScript"" ]"
10446270,1317792,25141,"cn.engadget.com",1,1,1,
10446264,1317792,7076,"cnbeta.com",0,0,0,
15526570,1317792,233600,"d-statistics",0,0,0,
10015009,1317792,836,"Dualx",0,0,0,"[ ""JavaScript"" ]"
9726328,1317792,149,"gsoc-application",0,0,0,"[ ""C"" ]"
10446281,1317792,72868,"hjenglish.com",0,0,0,
10446266,1317792,30077,"ifanr.com",0,0,2,
10141267,1317792,28340,"MINOR",0,0,0,"[ ""JavaScript"" ]"
4006140,1317792,6461,"moboot-for-veer",6,6,1,"[ ""C"" ]"
9110726,1317792,132,"pebble-firmware-utils",17,17,5,"[ ""Python"" ]"
9689791,1317792,57739,"qemu",0,0,0,"[ ""C"" ]"
10446275,1317792,114877,"smzdm.com",1,1,1,
26585607,1317792,4326,"symbols-tree-view",9,9,3,"[ ""CoffeeScript"" ]"
26310566,1317792,644,"symbols-view",0,0,0,
10266740,1317792,2472,"test.com",0,0,0,
20790428,1317792,12246,"the-swift-programming-language-in-chinese",0,0,0,"[ ""JavaScript"" ]"
5014317,1317792,4114,"Timeline",3,3,1,"[ ""JavaScript"" ]"
6924618,1317792,2397,"UbuntuNotifier",2,2,2,"[ ""Java"" ]"
3777367,1317792,233,"veer-touchpanel-driver",11,11,1,"[ ""C"" ]"
4042536,1317792,89,"veer-wifi-helper",5,5,2,"[ ""C"" ]"
11479759,1317792,112,"xndcn.github.io",0,0,0,
